Tipo de Caso,Cadena 1,Cadena 2,Distancia Levenshtein
Cadenas Vacías,,uld,3
Cadenas Vacías,,yzhe,4
Cadenas Vacías,,fn,2
Cadenas Vacías,,nbthbmca,8
Cadenas Vacías,,xkvbakzq,8
Cadenas Vacías,,llhid,5
Cadenas Vacías,,vokjvmrrb,9
Cadenas Vacías,,za,2
Cadenas Vacías,,yrbth,5
Cadenas Vacías,,kqtdjkzq,8
Cadenas Vacías,,stm,3
Cadenas Vacías,,wknhrlpoo,9
Cadenas Vacías,,rdmys,5
Cadenas Vacías,,mtei,4
Cadenas Vacías,,gjcssfjemr,10
Cadenas Vacías,,zsz,3
Cadenas Vacías,,vrar,4
Cadenas Vacías,,iwzg,4
Cadenas Vacías,,rsa,3
Cadenas Vacías,,ndv,3
Cadenas Vacías,,qfkiiiqj,8
Cadenas Vacías,,vdjwat,6
Cadenas Vacías,,igzjq,5
Cadenas Vacías,,uchb,4
Cadenas Vacías,,meinrdf,7
Cadenas Vacías,,ob,2
Cadenas Vacías,,sdslwgmmdo,10
Cadenas Vacías,,qmzvqsby,8
Cadenas Vacías,,dkzzvmc,7
Cadenas Vacías,,dbz,3
Cadenas Vacías,,vmjxudem,8
Cadenas Vacías,,rkaioko,7
Cadenas Vacías,,f,1
Cadenas Vacías,,hk,2
Cadenas Vacías,,indmqct,7
Cadenas Vacías,,ivafn,5
Cadenas Vacías,,maqvij,6
Cadenas Vacías,,rb,2
Cadenas Vacías,,s,1
Cadenas Vacías,,hdljbvsj,8
Cadenas Vacías,,va,2
Cadenas Vacías,,qbqz,4
Cadenas Vacías,,ahxixo,6
Cadenas Vacías,,ifxb,4
Cadenas Vacías,,htkv,4
Cadenas Vacías,,s,1
Cadenas Vacías,,aso,3
Cadenas Vacías,,v,1
Cadenas Vacías,,de,2
Cadenas Vacías,,pwldnmwb,8
Cadenas Vacías,,s,1
Cadenas Vacías,,wku,3
Cadenas Vacías,,jgdwan,6
Cadenas Vacías,,gvpwwz,6
Cadenas Vacías,,dvy,3
Cadenas Vacías,,emvpx,5
Cadenas Vacías,,v,1
Cadenas Vacías,,qivzfcu,7
Cadenas Vacías,,qek,3
Cadenas Vacías,,ozy,3
Cadenas Vacías,,x,1
Cadenas Vacías,,qcz,3
Cadenas Vacías,,ziqie,5
Cadenas Vacías,,ujj,3
Cadenas Vacías,,xpdznkpc,8
Cadenas Vacías,,h,1
Cadenas Vacías,,sw,2
Cadenas Vacías,,sdhomsl,7
Cadenas Vacías,,andxnj,6
Cadenas Vacías,,ztmxzxmi,8
Cadenas Vacías,,cldtkghs,8
Cadenas Vacías,,yjayctel,8
Cadenas Vacías,,eofebxao,8
Cadenas Vacías,,hctoz,5
Cadenas Vacías,,sln,3
Cadenas Vacías,,sfculpdx,8
Cadenas Vacías,,snm,3
Cadenas Vacías,,pdozqkppx,9
Cadenas Vacías,,x,1
Cadenas Vacías,,uiplv,5
Cadenas Vacías,,akulfl,6
Cadenas Vacías,,taucdhmp,8
Cadenas Vacías,,qisxqimd,8
Cadenas Vacías,,etzqtf,6
Cadenas Vacías,,nzklxo,6
Cadenas Vacías,,puntbvic,8
Cadenas Vacías,,qeaar,5
Cadenas Vacías,,ypwcaumfgk,10
Cadenas Vacías,,xc,2
Cadenas Vacías,,svo,3
Cadenas Vacías,,jvqlxjycci,10
Cadenas Vacías,,squ,3
Cadenas Vacías,,zoznoxfby,9
Cadenas Vacías,,qbhn,4
Cadenas Vacías,,secuyriqb,9
Cadenas Vacías,,epiizyhjne,10
Cadenas Vacías,,nqqvnc,6
Cadenas Vacías,,vcd,3
Cadenas Vacías,,rfof,4
Cadenas Vacías,,ofayacwp,8
Cadenas Vacías,,zjumafrs,8
Cadenas Vacías,,jlctnk,6
Cadenas Vacías,,fjsgzlchm,9
Cadenas Vacías,,x,1
Cadenas Vacías,,gzi,3
